PDF Template ID	PDF Template Name	HAS DOC ID?
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
f9ad8ae2-a6ea-4d95-9a79-e8e13584cec4	Centene Medicaid KY Member Cover Letter 2025 (Standard Font)	YES
b169e11a-b02c-4667-9846-1d7c1532c824	Centene Medicare Member DMP Initial Survey 2025 (Multiple SubOrg / Standard Font)	YES
b169e11a-b02c-4667-9846-1d7c1532c824	Centene Medicare Member DMP Initial Survey 2025 (Multiple SubOrg / Standard Font)	YES
eab7a2e6-ecfd-46dc-82f4-7a2980a15085	SCAN_SPC_TMR	YES
eab7a2e6-ecfd-46dc-82f4-7a2980a15085	SCAN_SPC_TMR	YES
e7faf980-d5d5-4a5a-88d6-d8b72acac273	MAP_GRACE	YES
05396295-3e09-460d-88e2-7fbe76742d91	MVP_MTM_PCP_TDL	YES
05396295-3e09-460d-88e2-7fbe76742d91	MVP_MTM_PCP_TDL	YES
c7f027cf-a58b-4203-9f2c-37aea423f70d	Centene Medicaid Member Cover Letter 2025 (Standard Font)	YES
c7f027cf-a58b-4203-9f2c-37aea423f70d	Centene Medicaid Member Cover Letter 2025 (Standard Font)	YES
c7f027cf-a58b-4203-9f2c-37aea423f70d	Centene Medicaid Member Cover Letter 2025 (Standard Font)	YES
c7f027cf-a58b-4203-9f2c-37aea423f70d	Centene Medicaid Member Cover Letter 2025 (Standard Font)	YES
c7f027cf-a58b-4203-9f2c-37aea423f70d	Centene Medicaid Member Cover Letter 2025 (Standard Font)	YES
